n,split_type,rows,cols,time
4,row,1000,500,0.001646
4,row,1000,1000,0.002649
4,row,1000,1500,0.003767
4,row,1000,2000,0.005052
4,row,1000,2500,0.005827
4,row,1000,3000,0.008918
4,row,1000,3500,0.008352
4,row,1000,4000,0.009615
4,row,1000,4500,0.010738
4,row,1000,5000,0.013637
4,row,2000,500,0.002679
4,row,2000,1000,0.004910
4,row,2000,1500,0.008044
4,row,2000,2000,0.012534
4,row,2000,2500,0.013612
4,row,2000,3000,0.014441
4,row,2000,3500,0.017049
4,row,2000,4000,0.019597
4,row,2000,4500,0.022223
4,row,2000,5000,0.022749
4,row,3000,500,0.003664
4,row,3000,1000,0.008405
4,row,3000,1500,0.011842
4,row,3000,2000,0.014739
4,row,3000,2500,0.019880
4,row,3000,3000,0.022537
4,row,3000,3500,0.025442
4,row,3000,4000,0.028334
4,row,3000,4500,0.030475
4,row,3000,5000,0.037518
4,row,4000,500,0.005889
4,row,4000,1000,0.009840
4,row,4000,1500,0.016167
4,row,4000,2000,0.018683
4,row,4000,2500,0.024025
4,row,4000,3000,0.029900
4,row,4000,3500,0.032792
4,row,4000,4000,0.041558
4,row,4000,4500,0.044909
4,row,4000,5000,0.049423
4,row,5000,500,0.006443
4,row,5000,1000,0.014341
4,row,5000,1500,0.020930
4,row,5000,2000,0.026160
4,row,5000,2500,0.034243
4,row,5000,3000,0.034893
4,row,5000,3500,0.043059
4,row,5000,4000,0.054824
4,row,5000,4500,0.055410
4,row,5000,5000,0.061335
4,row,6000,500,0.007507
4,row,6000,1000,0.015383
4,row,6000,1500,0.030274
4,row,6000,2000,0.032776
4,row,6000,2500,0.039182
4,row,6000,3000,0.043777
4,row,6000,3500,0.051426
4,row,6000,4000,0.065617
4,row,6000,4500,0.066241
4,row,6000,5000,0.093185
4,row,7000,500,0.011223
4,row,7000,1000,0.022427
4,row,7000,1500,0.024649
4,row,7000,2000,0.033940
4,row,7000,2500,0.041683
4,row,7000,3000,0.067132
4,row,7000,3500,0.060353
4,row,7000,4000,0.084542
4,row,7000,4500,0.076329
4,row,7000,5000,0.083785
4,row,8000,500,0.010200
4,row,8000,1000,0.022063
4,row,8000,1500,0.028606
4,row,8000,2000,0.041606
4,row,8000,2500,0.053536
4,row,8000,3000,0.058321
4,row,8000,3500,0.068269
4,row,8000,4000,0.087480
4,row,8000,4500,0.089733
4,row,8000,5000,0.121111
4,row,9000,500,0.012937
4,row,9000,1000,0.021097
4,row,9000,1500,0.036773
4,row,9000,2000,0.043825
4,row,9000,2500,0.066870
4,row,9000,3000,0.064626
4,row,9000,3500,0.078508
4,row,9000,4000,0.103558
4,row,9000,4500,0.110441
4,row,9000,5000,0.108140
4,row,10000,500,0.012557
4,row,10000,1000,0.026777
4,row,10000,1500,0.036853
4,row,10000,2000,0.050566
4,row,10000,2500,0.060822
4,row,10000,3000,0.075028
4,row,10000,3500,0.107237
4,row,10000,4000,0.102300
4,row,10000,4500,0.111130
4,row,10000,5000,0.135210
