n,split_type,rows,cols,time
4,row,1000,500,0.001513
4,row,1000,1000,0.002868
4,row,1000,1500,0.003720
4,row,1000,2000,0.004744
4,row,1000,2500,0.006353
4,row,1000,3000,0.007943
4,row,1000,3500,0.008796
4,row,1000,4000,0.009862
4,row,1000,4500,0.011035
4,row,1000,5000,0.010956
4,row,2000,500,0.002529
4,row,2000,1000,0.004787
4,row,2000,1500,0.010707
4,row,2000,2000,0.009732
4,row,2000,2500,0.013422
4,row,2000,3000,0.014152
4,row,2000,3500,0.025299
4,row,2000,4000,0.019158
4,row,2000,4500,0.021179
4,row,2000,5000,0.027189
4,row,3000,500,0.003874
4,row,3000,1000,0.007554
4,row,3000,1500,0.012086
4,row,3000,2000,0.014687
4,row,3000,2500,0.018250
4,row,3000,3000,0.027059
4,row,3000,3500,0.025937
4,row,3000,4000,0.031466
4,row,3000,4500,0.032467
4,row,3000,5000,0.036802
4,row,4000,500,0.005791
4,row,4000,1000,0.009928
4,row,4000,1500,0.015222
4,row,4000,2000,0.019663
4,row,4000,2500,0.024081
4,row,4000,3000,0.030306
4,row,4000,3500,0.038828
4,row,4000,4000,0.040257
4,row,4000,4500,0.043918
4,row,4000,5000,0.050754
4,row,5000,500,0.007062
4,row,5000,1000,0.012796
4,row,5000,1500,0.019266
4,row,5000,2000,0.024144
4,row,5000,2500,0.030694
4,row,5000,3000,0.040353
4,row,5000,3500,0.042788
4,row,5000,4000,0.048779
4,row,5000,4500,0.054723
4,row,5000,5000,0.060902
4,row,6000,500,0.007609
4,row,6000,1000,0.015000
4,row,6000,1500,0.023088
4,row,6000,2000,0.029625
4,row,6000,2500,0.035299
4,row,6000,3000,0.042959
4,row,6000,3500,0.052858
4,row,6000,4000,0.070826
4,row,6000,4500,0.066856
4,row,6000,5000,0.076313
4,row,7000,500,0.012151
4,row,7000,1000,0.020454
4,row,7000,1500,0.026490
4,row,7000,2000,0.034083
4,row,7000,2500,0.042276
4,row,7000,3000,0.057657
4,row,7000,3500,0.062317
4,row,7000,4000,0.070606
4,row,7000,4500,0.082068
4,row,7000,5000,0.088379
4,row,8000,500,0.010284
4,row,8000,1000,0.020497
4,row,8000,1500,0.040928
4,row,8000,2000,0.042260
4,row,8000,2500,0.049178
4,row,8000,3000,0.059050
4,row,8000,3500,0.068287
4,row,8000,4000,0.079584
4,row,8000,4500,0.089519
4,row,8000,5000,0.106135
4,row,9000,500,0.012717
4,row,9000,1000,0.023562
4,row,9000,1500,0.036083
4,row,9000,2000,0.045574
4,row,9000,2500,0.057306
4,row,9000,3000,0.068506
4,row,9000,3500,0.079482
4,row,9000,4000,0.099060
4,row,9000,4500,0.108317
4,row,9000,5000,0.117333
4,row,10000,500,0.013422
4,row,10000,1000,0.030590
4,row,10000,1500,0.039582
4,row,10000,2000,0.048852
4,row,10000,2500,0.094362
4,row,10000,3000,0.076304
4,row,10000,3500,0.112539
4,row,10000,4000,0.099502
4,row,10000,4500,0.107306
4,row,10000,5000,0.194539
4,column,1000,500,0.000958
4,column,1000,1000,0.001188
4,column,1000,1500,0.002658
4,column,1000,2000,0.001568
4,column,1000,2500,0.003305
4,column,1000,3000,0.002053
4,column,1000,3500,0.002061
4,column,1000,4000,0.003341
4,column,1000,4500,0.002722
4,column,1000,5000,0.002942
4,block,1000,500,0.000125
4,block,1000,1000,0.000144
4,block,1000,1500,0.000318
4,block,1000,2000,0.000496
4,block,1000,2500,0.000404
4,block,1000,3000,0.000877
4,block,1000,3500,0.000537
4,block,1000,4000,0.000652
4,block,1000,4500,0.000678
4,block,1000,5000,0.000752
4,block,2000,500,0.000279
4,block,2000,1000,0.000361
4,block,2000,1500,0.000489
4,block,2000,2000,0.000695
4,block,2000,2500,0.001545
4,block,2000,3000,0.000956
4,block,2000,3500,0.001106
4,block,2000,4000,0.001235
4,block,2000,4500,0.001355
4,block,2000,5000,0.002432
4,block,3000,500,0.000321
4,block,3000,1000,0.000948
4,block,3000,1500,0.000967
4,block,3000,2000,0.001106
4,block,3000,2500,0.001489
4,block,3000,3000,0.002094
4,block,3000,3500,0.002553
4,block,3000,4000,0.002035
4,block,3000,4500,0.003458
4,block,3000,5000,0.002401
4,block,4000,500,0.000486
4,block,4000,1000,0.000748
4,block,4000,1500,0.001160
4,block,4000,2000,0.001316
4,block,4000,2500,0.001434
4,block,4000,3000,0.001935
4,block,4000,3500,0.002107
4,block,4000,4000,0.002615
4,block,4000,4500,0.003230
4,block,4000,5000,0.003025
4,block,5000,500,0.000495
4,block,5000,1000,0.000796
4,block,5000,1500,0.001317
4,block,5000,2000,0.001652
4,block,5000,2500,0.002300
4,block,5000,3000,0.004405
4,block,5000,3500,0.002751
4,block,5000,4000,0.002754
4,block,5000,4500,0.004858
4,block,5000,5000,0.004085
4,block,6000,500,0.000693
4,block,6000,1000,0.001040
4,block,6000,1500,0.001515
4,block,6000,2000,0.003367
4,block,6000,2500,0.002694
4,block,6000,3000,0.003273
4,block,6000,3500,0.003790
4,block,6000,4000,0.004447
4,block,6000,4500,0.004415
4,block,6000,5000,0.004910
4,block,7000,500,0.000786
4,block,7000,1000,0.001263
4,block,7000,1500,0.001967
4,block,7000,2000,0.002337
4,block,7000,2500,0.004790
4,block,7000,3000,0.003339
4,block,7000,3500,0.003782
4,block,7000,4000,0.004503
4,block,7000,4500,0.004722
4,block,7000,5000,0.008389
4,block,8000,500,0.000794
4,block,8000,1000,0.001487
4,block,8000,1500,0.002612
4,block,8000,2000,0.004738
4,block,8000,2500,0.003424
4,block,8000,3000,0.004383
4,block,8000,3500,0.006279
4,block,8000,4000,0.010634
4,block,8000,4500,0.008842
4,block,8000,5000,0.006377
4,block,9000,500,0.000875
4,block,9000,1000,0.001708
4,block,9000,1500,0.002483
4,block,9000,2000,0.003679
4,block,9000,2500,0.003917
4,block,9000,3000,0.005562
4,block,9000,3500,0.004348
4,block,9000,4000,0.005678
4,block,9000,4500,0.007099
4,block,9000,5000,0.007763
4,block,10000,500,0.002019
4,block,10000,1000,0.002180
4,block,10000,1500,0.004252
4,block,10000,2000,0.003411
4,block,10000,2500,0.004405
4,block,10000,3000,0.006477
4,block,10000,3500,0.005809
4,block,10000,4000,0.008383
4,block,10000,4500,0.008582
4,block,10000,5000,0.008259
