n,size,time
2,  50,0.000171
2, 100,0.000905
2, 150,0.002966
2, 200,0.007008
2, 250,0.012861
2, 300,0.021966
2, 350,0.036331
2, 400,0.056209
2, 450,0.078106
2, 500,0.107162
2, 550,0.165512
2, 600,0.205447
2, 650,0.280426
2, 700,0.331319
2, 750,0.415404
2, 800,0.612554
2, 850,0.657095
2, 900,0.674798
2, 950,0.953466
2,1000,1.188277
2,1050,1.382391
2,1100,1.629439
2,1150,1.893320
2,1200,1.784345
2,1250,3.227345
2,1300,4.352728
2,1350,4.867258
2,1400,7.298421
2,1450,7.084949
2,1500,5.220087
2,1550,4.909812
2,1600,12.086534
2,1650,9.791725
2,1700,11.998144
2,1750,17.208166
2,1800,8.510028
2,1850,11.885322
2,1900,22.914812
2,1950,18.215950
2,2000,19.876509
2,2050,28.665099
2,2100,19.031524
2,2150,14.855269
2,2200,36.481051
2,2250,29.308261
2,2300,32.980811
2,2350,45.543643
2,2400,46.495850
2,2450,31.569703
2,2500,57.157942
