n,partition,rows,cols,time
1,row,1000,500,0.000996
1,row,1000,1000,0.001969
1,row,1000,1500,0.003284
1,row,1000,2000,0.004344
1,row,1000,2500,0.005178
1,row,1000,3000,0.006468
1,row,1000,3500,0.006818
1,row,1000,4000,0.009297
1,row,1000,4500,0.009582
1,row,1000,5000,0.009947
1,row,2000,500,0.002119
1,row,2000,1000,0.004144
1,row,2000,1500,0.006392
1,row,2000,2000,0.008282
1,row,2000,2500,0.010617
1,row,2000,3000,0.012302
1,row,2000,3500,0.014354
1,row,2000,4000,0.015909
1,row,2000,4500,0.017878
1,row,2000,5000,0.020474
1,row,3000,500,0.002944
1,row,3000,1000,0.006108
1,row,3000,1500,0.009232
1,row,3000,2000,0.013690
1,row,3000,2500,0.016050
1,row,3000,3000,0.019465
1,row,3000,3500,0.023054
1,row,3000,4000,0.026103
1,row,3000,4500,0.027967
1,row,3000,5000,0.031880
1,row,4000,500,0.004702
1,row,4000,1000,0.008784
1,row,4000,1500,0.012261
1,row,4000,2000,0.016079
1,row,4000,2500,0.021710
1,row,4000,3000,0.026986
1,row,4000,3500,0.031023
1,row,4000,4000,0.033294
1,row,4000,4500,0.040179
1,row,4000,5000,0.040128
1,row,5000,500,0.005115
1,row,5000,1000,0.010233
1,row,5000,1500,0.015656
1,row,5000,2000,0.021890
1,row,5000,2500,0.027858
1,row,5000,3000,0.031687
1,row,5000,3500,0.037945
1,row,5000,4000,0.042299
1,row,5000,4500,0.049258
1,row,5000,5000,0.053816
1,row,6000,500,0.005969
1,row,6000,1000,0.014177
1,row,6000,1500,0.020807
1,row,6000,2000,0.025175
1,row,6000,2500,0.032092
1,row,6000,3000,0.037945
1,row,6000,3500,0.045028
1,row,6000,4000,0.050820
1,row,6000,4500,0.056711
1,row,6000,5000,0.064631
1,row,7000,500,0.007142
1,row,7000,1000,0.014791
1,row,7000,1500,0.021916
1,row,7000,2000,0.029567
1,row,7000,2500,0.037492
1,row,7000,3000,0.044697
1,row,7000,3500,0.051829
1,row,7000,4000,0.064920
1,row,7000,4500,0.067272
1,row,7000,5000,0.072959
1,row,8000,500,0.007975
1,row,8000,1000,0.016963
1,row,8000,1500,0.024891
1,row,8000,2000,0.032959
1,row,8000,2500,0.042466
1,row,8000,3000,0.051563
1,row,8000,3500,0.058862
1,row,8000,4000,0.066312
1,row,8000,4500,0.078629
1,row,8000,5000,0.084822
1,row,9000,500,0.009252
1,row,9000,1000,0.019651
1,row,9000,1500,0.028254
1,row,9000,2000,0.037340
1,row,9000,2500,0.045435
1,row,9000,3000,0.058849
1,row,9000,3500,0.068383
1,row,9000,4000,0.075938
1,row,9000,4500,0.083630
1,row,9000,5000,0.096506
1,row,10000,500,0.009472
1,row,10000,1000,0.020257
1,row,10000,1500,0.031754
1,row,10000,2000,0.041147
1,row,10000,2500,0.051630
